name,year,fg3,fg3a,fg3_pct
Lamar Odom,7,54.0,182.0,0.297
Lamar Odom,8,31.0,113.0,0.274
Lamar Odom,9,33.0,103.0,0.32
Lamar Odom,10,58.0,182.0,0.319
Lamar Odom,11,68.0,178.0,0.382
Lamar Odom,12,28.0,111.0,0.252
Lamar Odom,13,18.0,90.0,0.2
Semi Ojeleye,0,40.0,125.0,0.32
Semi Ojeleye,1,28.0,89.0,0.315
Semi Ojeleye,2,48.0,127.0,0.378
Semi Ojeleye,3,58.0,158.0,0.367
Semi Ojeleye,4,15.0,50.0,0.3
Chuma Okeke,0,49.0,141.0,0.348
Chuma Okeke,1,118.0,371.0,0.318
Elie Okobo,0,39.0,132.0,0.295
Elie Okobo,1,25.0,71.0,0.352
Josh Okogie,0,60.0,215.0,0.279
Josh Okogie,1,41.0,154.0,0.266
Josh Okogie,2,29.0,108.0,0.269
Josh Okogie,3,14.0,47.0,0.298
Isaac Okoro,0,62.0,214.0,0.29
Isaac Okoro,1,55.0,157.0,0.35
KZ Okpala,1,12.0,50.0,0.24
KZ Okpala,2,9.0,26.0,0.346
Mehmet Okur,0,38.0,112.0,0.339
Mehmet Okur,1,18.0,48.0,0.375
Mehmet Okur,2,17.0,63.0,0.27
Mehmet Okur,3,80.0,234.0,0.342
Mehmet Okur,4,129.0,336.0,0.384
Mehmet Okur,5,114.0,294.0,0.388
Mehmet Okur,6,90.0,202.0,0.446
Mehmet Okur,7,82.0,213.0,0.385
Mehmet Okur,9,23.0,72.0,0.319
Victor Oladipo,0,74.0,226.0,0.327
Victor Oladipo,1,84.0,248.0,0.339
Victor Oladipo,2,98.0,282.0,0.348
Victor Oladipo,3,127.0,352.0,0.361
Victor Oladipo,4,161.0,434.0,0.371
Victor Oladipo,5,74.0,216.0,0.343
Victor Oladipo,6,33.0,104.0,0.317
Victor Oladipo,7,78.0,239.0,0.326
Victor Oladipo,8,15.0,36.0,0.417
Kelly Olynyk,0,40.0,114.0,0.351
Kelly Olynyk,1,61.0,175.0,0.349
Kelly Olynyk,2,85.0,210.0,0.405
Kelly Olynyk,3,68.0,192.0,0.354
Kelly Olynyk,4,106.0,280.0,0.379
Kelly Olynyk,5,113.0,319.0,0.354
Kelly Olynyk,6,95.0,234.0,0.406
Kelly Olynyk,7,126.0,368.0,0.342
Kelly Olynyk,8,40.0,119.0,0.336
Cedi Osman,0,32.0,87.0,0.368
Cedi Osman,1,130.0,374.0,0.348
Cedi Osman,2,123.0,321.0,0.383
Cedi Osman,3,99.0,324.0,0.306
Cedi Osman,4,128.0,359.0,0.357
Kelly Oubre Jr.,0,25.0,79.0,0.316
Kelly Oubre Jr.,1,54.0,188.0,0.287
Kelly Oubre Jr.,2,126.0,369.0,0.341
Kelly Oubre Jr.,3,108.0,338.0,0.32
Kelly Oubre Jr.,4,108.0,307.0,0.352
Kelly Oubre Jr.,5,90.0,285.0,0.316
Kelly Oubre Jr.,6,191.0,553.0,0.345
Travis Outlaw,2,14.0,53.0,0.264
Travis Outlaw,3,10.0,37.0,0.27
Travis Outlaw,4,40.0,101.0,0.396
Travis Outlaw,5,89.0,236.0,0.377
Travis Outlaw,6,40.0,105.0,0.381
Travis Outlaw,7,76.0,252.0,0.302
Travis Outlaw,8,16.0,60.0,0.267
Travis Outlaw,9,14.0,50.0,0.28
Travis Outlaw,10,41.0,117.0,0.35
Kostas Papanikolaou,0,31.0,106.0,0.292
Kostas Papanikolaou,1,10.0,32.0,0.313
Jannero Pargo,1,22.0,62.0,0.355
Jannero Pargo,2,23.0,66.0,0.348
Jannero Pargo,3,39.0,103.0,0.379
Jannero Pargo,4,81.0,209.0,0.388
